timestamp,node_id,subsystem,sensor,parameter,value_raw,value_hrf
2020/05/01 17:25:25,001e06113107,alphasense,opc_n2,bins,NA,"15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2020/05/01 17:25:25,001e06113107,alphasense,opc_n2,pm1,NA,0.484
2020/05/01 17:25:25,001e06113107,alphasense,opc_n2,pm10,NA,0.505
2020/05/01 17:25:25,001e06113107,alphasense,opc_n2,pm2_5,NA,0.505
2020/05/01 17:25:25,001e06113107,alphasense,opc_n2,sample_flow_rate,NA,0.50135
2020/05/01 17:25:25,001e06113107,alphasense,opc_n2,sampling_period,NA,24.99607
2020/05/01 17:25:25,001e06113107,chemsense,at0,temperature,2147.0,21.47
2020/05/01 17:25:25,001e06113107,chemsense,at1,temperature,2190.0,21.9
2020/05/01 17:25:25,001e06113107,chemsense,at2,temperature,2264.0,22.64
2020/05/01 17:25:25,001e06113107,chemsense,at3,temperature,2332.0,23.32
2020/05/01 17:25:25,001e06113107,chemsense,chemsense,id,NA,5410ec38a1c6
2020/05/01 17:25:25,001e06113107,chemsense,co,concentration,2645.0,-2.21321
2020/05/01 17:25:25,001e06113107,chemsense,h2s,concentration,1986.0,-0.00796
2020/05/01 17:25:25,001e06113107,chemsense,lps25h,pressure,120470.0,1204.7
2020/05/01 17:25:25,001e06113107,chemsense,lps25h,temperature,-5387.0,-53.87
2020/05/01 17:25:25,001e06113107,chemsense,no2,concentration,2294.0,-0.01103
2020/05/01 17:25:25,001e06113107,chemsense,o3,concentration,1749.0,0.0
2020/05/01 17:25:25,001e06113107,chemsense,oxidizing_gases,concentration,24932.0,1.32667
2020/05/01 17:25:25,001e06113107,chemsense,reducing_gases,concentration,5080.0,-0.08964
2020/05/01 17:25:25,001e06113107,chemsense,si1145,ir_intensity,9838,NA
2020/05/01 17:25:25,001e06113107,chemsense,si1145,uv_intensity,243,NA
2020/05/01 17:25:25,001e06113107,chemsense,si1145,visible_light_intensity,836,NA
2020/05/01 17:25:25,001e06113107,chemsense,so2,concentration,-245.0,-0.19777
2020/05/01 17:25:25,001e06113107,lightsense,apds_9006_020,intensity,561,45.091
2020/05/01 17:25:25,001e06113107,lightsense,hih6130,humidity,8060,49.2
2020/05/01 17:25:25,001e06113107,lightsense,hih6130,temperature,32600,42.08
2020/05/01 17:25:25,001e06113107,lightsense,hmc5883l,magnetic_field_x,331,300.909
2020/05/01 17:25:25,001e06113107,lightsense,hmc5883l,magnetic_field_y,542,492.727
2020/05/01 17:25:25,001e06113107,lightsense,hmc5883l,magnetic_field_z,-60,-61.224
2020/05/01 17:25:25,001e06113107,lightsense,ml8511,intensity,9722,46.136
2020/05/01 17:25:25,001e06113107,lightsense,mlx75305,intensity,31239,684.108
2020/05/01 17:25:25,001e06113107,lightsense,tmp421,temperature,10160,39.69
2020/05/01 17:25:25,001e06113107,lightsense,tsl250rd,intensity,31239,76.177
2020/05/01 17:25:25,001e06113107,lightsense,tsl260rd,intensity,9722,26.083
2020/05/01 17:25:25,001e06113107,metsense,bmp180,pressure,10841248,1041.88
2020/05/01 17:25:25,001e06113107,metsense,bmp180,temperature,25162,30.4
2020/05/01 17:25:25,001e06113107,metsense,hih4030,humidity,332,50.69
2020/05/01 17:25:25,001e06113107,metsense,htu21d,humidity,14830,22.28
2020/05/01 17:25:25,001e06113107,metsense,htu21d,temperature,25620,21.84
2020/05/01 17:25:25,001e06113107,metsense,metsense,id,0140d1141800,0140d1141800
2020/05/01 17:25:25,001e06113107,metsense,mma8452q,acceleration_x,800,48.828
2020/05/01 17:25:25,001e06113107,metsense,mma8452q,acceleration_y,50512,-916.992
2020/05/01 17:25:25,001e06113107,metsense,mma8452q,acceleration_z,992,60.547
2020/05/01 17:25:25,001e06113107,metsense,pr103j2,temperature,825,22.25
2020/05/01 17:25:25,001e06113107,metsense,spv1840lr5h_b,intensity,NA,56.72
2020/05/01 17:25:25,001e06113107,metsense,tmp112,temperature,2841,22.19
2020/05/01 17:25:25,001e06113107,metsense,tsl250rd,intensity,722,36.356
2020/05/01 17:25:25,001e06113107,metsense,tsys01,temperature,9736410,22.63
2020/05/01 17:25:33,001e061183f3,lightsense,apds_9006_020,intensity,65535,5267.409
2020/05/01 17:25:33,001e061183f3,lightsense,hih6130,humidity,65535,100.0
2020/05/01 17:25:33,001e061183f3,lightsense,hih6130,temperature,65535,125.01
2020/05/01 17:25:33,001e061183f3,lightsense,hmc5883l,magnetic_field_x,-1,-0.909
2020/05/01 17:25:33,001e061183f3,lightsense,hmc5883l,magnetic_field_y,-1,-0.909
2020/05/01 17:25:33,001e061183f3,lightsense,hmc5883l,magnetic_field_z,-1,-1.02
2020/05/01 17:25:33,001e061183f3,lightsense,ml8511,intensity,65535,1135.624
2020/05/01 17:25:33,001e061183f3,lightsense,mlx75305,intensity,65535,1449.643
2020/05/01 17:25:33,001e061183f3,lightsense,tmp421,temperature,65535,-0.06
2020/05/01 17:25:33,001e061183f3,lightsense,tsl250rd,intensity,65535,159.907
2020/05/01 17:25:33,001e061183f3,lightsense,tsl260rd,intensity,65535,176.441
2020/05/01 17:25:33,001e061183f3,metsense,bmp180,pressure,16777215,2361.56
2020/05/01 17:25:33,001e061183f3,metsense,bmp180,temperature,65535,241.0
2020/05/01 17:25:33,001e061183f3,metsense,hih4030,humidity,351,53.54
2020/05/01 17:25:33,001e061183f3,metsense,htu21d,humidity,65535,118.99
2020/05/01 17:25:33,001e061183f3,metsense,htu21d,temperature,65535,128.86
2020/05/01 17:25:33,001e061183f3,metsense,metsense,id,011214101a00,011214101a00
2020/05/01 17:25:33,001e061183f3,metsense,mma8452q,acceleration_x,65535,-0.977
2020/05/01 17:25:33,001e061183f3,metsense,mma8452q,acceleration_y,65535,-0.977
2020/05/01 17:25:33,001e061183f3,metsense,mma8452q,acceleration_z,65535,-0.977
2020/05/01 17:25:33,001e061183f3,metsense,pr103j2,temperature,773,15.7
2020/05/01 17:25:33,001e061183f3,metsense,spv1840lr5h_b,intensity,NA,56.72
2020/05/01 17:25:33,001e061183f3,metsense,tmp112,temperature,65535,-254.0
2020/05/01 17:25:33,001e061183f3,metsense,tsl250rd,intensity,0,0.0
2020/05/01 17:25:33,001e061183f3,metsense,tsys01,temperature,16777215,214.75
2020/05/01 17:25:34,001e0611804d,chemsense,at0,temperature,1545.0,15.45
2020/05/01 17:25:34,001e0611804d,chemsense,at1,temperature,1587.0,15.87
2020/05/01 17:25:34,001e0611804d,chemsense,at2,temperature,1643.0,16.43
2020/05/01 17:25:34,001e0611804d,chemsense,at3,temperature,1691.0,16.91
2020/05/01 17:25:34,001e0611804d,chemsense,chemsense,id,NA,5410ecf71acd
2020/05/01 17:25:34,001e0611804d,chemsense,co,concentration,3340.0,-0.43006
2020/05/01 17:25:34,001e0611804d,chemsense,h2s,concentration,-673.0,0.02089
2020/05/01 17:25:34,001e0611804d,chemsense,lps25h,pressure,100028.0,1000.28
2020/05/01 17:25:34,001e0611804d,chemsense,lps25h,temperature,1646.0,16.46
2020/05/01 17:25:34,001e0611804d,chemsense,no2,concentration,879.0,0.0
2020/05/01 17:25:34,001e0611804d,chemsense,o3,concentration,2660.0,0.02049
2020/05/01 17:25:34,001e0611804d,chemsense,oxidizing_gases,concentration,9831.0,0.54784
2020/05/01 17:25:34,001e0611804d,chemsense,reducing_gases,concentration,5474.0,0.02914
2020/05/01 17:25:34,001e0611804d,chemsense,si1145,ir_intensity,5774,NA
2020/05/01 17:25:34,001e0611804d,chemsense,si1145,uv_intensity,131,NA
2020/05/01 17:25:34,001e0611804d,chemsense,si1145,visible_light_intensity,569,NA
2020/05/01 17:25:34,001e0611804d,chemsense,so2,concentration,632.0,-0.24885
2020/05/01 17:25:34,001e0611804d,lightsense,apds_9006_020,intensity,37,2.974
2020/05/01 17:25:34,001e0611804d,lightsense,hih6130,humidity,27102,65.42
2020/05/01 17:25:34,001e0611804d,lightsense,hih6130,temperature,25437,24.05
2020/05/01 17:25:34,001e0611804d,lightsense,hmc5883l,magnetic_field_x,-1,-0.909
2020/05/01 17:25:34,001e0611804d,lightsense,hmc5883l,magnetic_field_y,-1,-0.909
2020/05/01 17:25:34,001e0611804d,lightsense,hmc5883l,magnetic_field_z,-1,-1.02
2020/05/01 17:25:34,001e0611804d,lightsense,ml8511,intensity,9500,41.803
2020/05/01 17:25:34,001e0611804d,lightsense,mlx75305,intensity,552,-0.87
2020/05/01 17:25:34,001e0611804d,lightsense,tmp421,temperature,5728,22.38
2020/05/01 17:25:34,001e0611804d,lightsense,tsl250rd,intensity,552,1.257
2020/05/01 17:25:34,001e0611804d,lightsense,tsl260rd,intensity,552,1.379
2020/05/01 17:25:34,001e0611804d,metsense,bmp180,pressure,10496960,1037.36
2020/05/01 17:25:34,001e0611804d,metsense,bmp180,temperature,27367,43.6
2020/05/01 17:25:34,001e0611804d,metsense,hih4030,humidity,375,57.13
2020/05/01 17:25:34,001e0611804d,metsense,htu21d,humidity,19930,32.01
2020/05/01 17:25:34,001e0611804d,metsense,htu21d,temperature,23156,15.24
2020/05/01 17:25:34,001e0611804d,metsense,metsense,id,01a41a101a00,01a41a101a00
2020/05/01 17:25:34,001e0611804d,metsense,mma8452q,acceleration_x,65088,-27.344
2020/05/01 17:25:34,001e0611804d,metsense,mma8452q,acceleration_y,49216,-996.094
2020/05/01 17:25:34,001e0611804d,metsense,mma8452q,acceleration_z,64896,-39.062
2020/05/01 17:25:34,001e0611804d,metsense,pr103j2,temperature,772,15.55
2020/05/01 17:25:34,001e0611804d,metsense,spv1840lr5h_b,intensity,NA,62.74
2020/05/01 17:25:34,001e0611804d,metsense,tmp112,temperature,1969,15.38
2020/05/01 17:25:34,001e0611804d,metsense,tsl250rd,intensity,0,0.0
2020/05/01 17:25:34,001e0611804d,metsense,tsys01,temperature,9526906,15.51
2020/05/01 17:25:35,001e0611462f,lightsense,apds_9006_020,intensity,488,39.223
2020/05/01 17:25:35,001e0611462f,lightsense,hih6130,humidity,7943,48.48
2020/05/01 17:25:35,001e0611462f,lightsense,hih6130,temperature,28124,30.81
2020/05/01 17:25:35,001e0611462f,lightsense,hmc5883l,magnetic_field_x,105,95.455
2020/05/01 17:25:35,001e0611462f,lightsense,hmc5883l,magnetic_field_y,726,660.0
2020/05/01 17:25:35,001e0611462f,lightsense,hmc5883l,magnetic_field_z,-155,-158.163
2020/05/01 17:25:35,001e0611462f,lightsense,ml8511,intensity,10163,54.745
2020/05/01 17:25:35,001e0611462f,lightsense,mlx75305,intensity,31302,685.514
2020/05/01 17:25:35,001e0611462f,lightsense,tmp421,temperature,7616,29.75
2020/05/01 17:25:35,001e0611462f,lightsense,tsl250rd,intensity,10163,24.722
2020/05/01 17:25:35,001e0611462f,lightsense,tsl260rd,intensity,31302,84.219
2020/05/01 17:25:35,001e0611462f,metsense,bmp180,pressure,9752352,940.13
2020/05/01 17:25:35,001e0611462f,metsense,bmp180,temperature,26768,40.1
2020/05/01 17:25:35,001e0611462f,metsense,hih4030,humidity,397,60.43
2020/05/01 17:25:35,001e0611462f,metsense,htu21d,humidity,65535,118.99
2020/05/01 17:25:35,001e0611462f,metsense,htu21d,temperature,15548,-5.16
2020/05/01 17:25:35,001e0611462f,metsense,metsense,id,0164bce21700,0164bce21700
2020/05/01 17:25:35,001e0611462f,metsense,mma8452q,acceleration_x,48,2.93
2020/05/01 17:25:35,001e0611462f,metsense,mma8452q,acceleration_y,49200,-997.07
2020/05/01 17:25:35,001e0611462f,metsense,mma8452q,acceleration_z,704,42.969
2020/05/01 17:25:35,001e0611462f,metsense,pr103j2,temperature,727,10.8
2020/05/01 17:25:35,001e0611462f,metsense,spv1840lr5h_b,intensity,NA,56.72
2020/05/01 17:25:35,001e0611462f,metsense,tmp112,temperature,1921,15.0
2020/05/01 17:25:35,001e0611462f,metsense,tsl250rd,intensity,716,36.053
2020/05/01 17:25:35,001e0611462f,metsense,tsys01,temperature,9513164,15.04
2020/05/01 17:25:39,001e0610ee36,lightsense,apds_9006_020,intensity,65535,5267.409
2020/05/01 17:25:39,001e0610ee36,lightsense,hih6130,humidity,65535,100.0
2020/05/01 17:25:39,001e0610ee36,lightsense,hih6130,temperature,65535,125.01
2020/05/01 17:25:39,001e0610ee36,lightsense,hmc5883l,magnetic_field_x,-1,-0.909
2020/05/01 17:25:39,001e0610ee36,lightsense,hmc5883l,magnetic_field_y,-1,-0.909
2020/05/01 17:25:39,001e0610ee36,lightsense,hmc5883l,magnetic_field_z,-1,-1.02
2020/05/01 17:25:39,001e0610ee36,lightsense,ml8511,intensity,65535,1135.624
2020/05/01 17:25:39,001e0610ee36,lightsense,mlx75305,intensity,65535,1449.643
2020/05/01 17:25:39,001e0610ee36,lightsense,tmp421,temperature,65535,-0.06
2020/05/01 17:25:39,001e0610ee36,lightsense,tsl250rd,intensity,65535,159.907
2020/05/01 17:25:39,001e0610ee36,lightsense,tsl260rd,intensity,65535,176.441
2020/05/01 17:25:39,001e0610ee36,metsense,bmp180,pressure,16777215,2361.56
